Hour,Top_600_LMP_Interval_Count,Percent_of_Total
0,16,3%
1,3,1%
2,1,0%
3,1,0%
4,2,0%
5,6,1%
6,10,2%
7,33,6%
8,33,6%
9,28,5%
10,17,3%
11,10,2%
12,22,4%
13,40,7%
14,30,5%
15,28,5%
16,24,4%
17,68,11%
18,83,14%
19,52,9%
20,27,5%
21,23,4%
22,32,5%
23,11,2%
