OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2019-08-01,13,0,2019-08-01T19:00:00-00:00,2019-08-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1371.98666,ACTUAL,1
2019-08-01,15,0,2019-08-01T21:00:00-00:00,2019-08-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1362.09299,ACTUAL,1
2019-08-01,12,0,2019-08-01T18:00:00-00:00,2019-08-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1375.79335,ACTUAL,1
2019-08-01,19,0,2019-08-02T01:00:00-00:00,2019-08-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,749.39421,ACTUAL,1
2019-08-01,11,0,2019-08-01T17:00:00-00:00,2019-08-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1367.82085,ACTUAL,1
2019-08-01,24,0,2019-08-02T06:00:00-00:00,2019-08-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.47886,ACTUAL,1
2019-08-01,10,0,2019-08-01T16:00:00-00:00,2019-08-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1332.24706,ACTUAL,1
2019-08-01,16,0,2019-08-01T22:00:00-00:00,2019-08-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1369.53396,ACTUAL,1
2019-08-01,9,0,2019-08-01T15:00:00-00:00,2019-08-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1222.6985,ACTUAL,1
2019-08-01,23,0,2019-08-02T05:00:00-00:00,2019-08-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.4455,ACTUAL,1
2019-08-01,8,0,2019-08-01T14:00:00-00:00,2019-08-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,747.6476,ACTUAL,1
2019-08-01,18,0,2019-08-02T00:00:00-00:00,2019-08-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1178.75215,ACTUAL,1
2019-08-01,7,0,2019-08-01T13:00:00-00:00,2019-08-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,105.41624,ACTUAL,1
2019-08-01,22,0,2019-08-02T04:00:00-00:00,2019-08-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.39989,ACTUAL,1
2019-08-01,6,0,2019-08-01T12:00:00-00:00,2019-08-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.42276,ACTUAL,1
2019-08-01,14,0,2019-08-01T20:00:00-00:00,2019-08-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1367.99883,ACTUAL,1
2019-08-01,5,0,2019-08-01T11:00:00-00:00,2019-08-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.27853,ACTUAL,1
2019-08-01,21,0,2019-08-02T03:00:00-00:00,2019-08-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.53479,ACTUAL,1
2019-08-01,4,0,2019-08-01T10:00:00-00:00,2019-08-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.32394,ACTUAL,1
2019-08-01,17,0,2019-08-01T23:00:00-00:00,2019-08-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1327.48468,ACTUAL,1
2019-08-01,3,0,2019-08-01T09:00:00-00:00,2019-08-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.35552,ACTUAL,1
2019-08-01,20,0,2019-08-02T02:00:00-00:00,2019-08-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,123.67698,ACTUAL,1
2019-08-01,2,0,2019-08-01T08:00:00-00:00,2019-08-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.15473,ACTUAL,1
2019-08-01,1,0,2019-08-01T07:00:00-00:00,2019-08-01T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.83918,ACTUAL,1
2019-08-01,12,0,2019-08-01T18:00:00-00:00,2019-08-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,582.14079,ACTUAL,2
2019-08-01,11,0,2019-08-01T17:00:00-00:00,2019-08-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,530.33261,ACTUAL,2
2019-08-01,10,0,2019-08-01T16:00:00-00:00,2019-08-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,647.31899,ACTUAL,2
