OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2019-11-01,13,0,2019-11-01T19:00:00-00:00,2019-11-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,924.4089,ACTUAL,1
2019-11-01,15,0,2019-11-01T21:00:00-00:00,2019-11-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,981.51245,ACTUAL,1
2019-11-01,12,0,2019-11-01T18:00:00-00:00,2019-11-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,958.92351,ACTUAL,1
2019-11-01,19,0,2019-11-02T01:00:00-00:00,2019-11-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.43901,ACTUAL,1
2019-11-01,11,0,2019-11-01T17:00:00-00:00,2019-11-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,998.11887,ACTUAL,1
2019-11-01,24,0,2019-11-02T06:00:00-00:00,2019-11-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.46011,ACTUAL,1
2019-11-01,10,0,2019-11-01T16:00:00-00:00,2019-11-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,936.19906,ACTUAL,1
2019-11-01,16,0,2019-11-01T22:00:00-00:00,2019-11-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,978.04768,ACTUAL,1
2019-11-01,9,0,2019-11-01T15:00:00-00:00,2019-11-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,445.50628,ACTUAL,1
2019-11-01,23,0,2019-11-02T05:00:00-00:00,2019-11-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.44692,ACTUAL,1
2019-11-01,8,0,2019-11-01T14:00:00-00:00,2019-11-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,20.99184,ACTUAL,1
2019-11-01,18,0,2019-11-02T00:00:00-00:00,2019-11-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,144.29221,ACTUAL,1
2019-11-01,7,0,2019-11-01T13:00:00-00:00,2019-11-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.54588,ACTUAL,1
2019-11-01,22,0,2019-11-02T04:00:00-00:00,2019-11-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.46242,ACTUAL,1
2019-11-01,6,0,2019-11-01T12:00:00-00:00,2019-11-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.52754,ACTUAL,1
2019-11-01,14,0,2019-11-01T20:00:00-00:00,2019-11-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,942.74933,ACTUAL,1
