OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2019-10-01,13,0,2019-10-01T19:00:00-00:00,2019-10-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1128.33575,ACTUAL,1
2019-10-01,15,0,2019-10-01T21:00:00-00:00,2019-10-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1157.06626,ACTUAL,1
2019-10-01,12,0,2019-10-01T18:00:00-00:00,2019-10-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1163.59532,ACTUAL,1
2019-10-01,19,0,2019-10-02T01:00:00-00:00,2019-10-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,100.76561,ACTUAL,1
2019-10-01,11,0,2019-10-01T17:00:00-00:00,2019-10-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1173.95503,ACTUAL,1
2019-10-01,24,0,2019-10-02T06:00:00-00:00,2019-10-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.05782,ACTUAL,1
2019-10-01,10,0,2019-10-01T16:00:00-00:00,2019-10-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1139.58911,ACTUAL,1
2019-10-01,16,0,2019-10-01T22:00:00-00:00,2019-10-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1163.1188,ACTUAL,1
2019-10-01,9,0,2019-10-01T15:00:00-00:00,2019-10-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,837.10361,ACTUAL,1
2019-10-01,23,0,2019-10-02T05:00:00-00:00,2019-10-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.99899,ACTUAL,1
2019-10-01,8,0,2019-10-01T14:00:00-00:00,2019-10-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,175.86734,ACTUAL,1
2019-10-01,18,0,2019-10-02T00:00:00-00:00,2019-10-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,644.89335,ACTUAL,1
2019-10-01,7,0,2019-10-01T13:00:00-00:00,2019-10-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.66444,ACTUAL,1
2019-10-01,22,0,2019-10-02T04:00:00-00:00,2019-10-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.98907,ACTUAL,1
2019-10-01,6,0,2019-10-01T12:00:00-00:00,2019-10-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.0187,ACTUAL,1
2019-10-01,14,0,2019-10-01T20:00:00-00:00,2019-10-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1134.57705,ACTUAL,1
2019-10-01,5,0,2019-10-01T11:00:00-00:00,2019-10-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.86723,ACTUAL,1
2019-10-01,21,0,2019-10-02T03:00:00-00:00,2019-10-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-0.32492,ACTUAL,1
2019-10-01,4,0,2019-10-01T10:00:00-00:00,2019-10-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.8131,ACTUAL,1
2019-10-01,17,0,2019-10-01T23:00:00-00:00,2019-10-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1067.27403,ACTUAL,1
2019-10-01,3,0,2019-10-01T09:00:00-00:00,2019-10-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.04203,ACTUAL,1
2019-10-01,20,0,2019-10-02T02:00:00-00:00,2019-10-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,48.42,ACTUAL,1
2019-10-01,2,0,2019-10-01T08:00:00-00:00,2019-10-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.80283,ACTUAL,1
2019-10-01,1,0,2019-10-01T07:00:00-00:00,2019-10-01T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.79288,ACTUAL,1
2019-10-01,12,0,2019-10-01T18:00:00-00:00,2019-10-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,134.91764,ACTUAL,2
2019-10-01,11,0,2019-10-01T17:00:00-00:00,2019-10-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,179.54926,ACTUAL,2
2019-10-01,10,0,2019-10-01T16:00:00-00:00,2019-10-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,95.44939,ACTUAL,2
2019-10-01,9,0,2019-10-01T15:00:00-00:00,2019-10-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,75.50886,ACTUAL,2
2019-10-01,8,0,2019-10-01T14:00:00-00:00,2019-10-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,69.49916,ACTUAL,2
2019-10-01,7,0,2019-10-01T13:00:00-00:00,2019-10-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,70.09163,ACTUAL,2
2019-10-01,6,0,2019-10-01T12:00:00-00:00,2019-10-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,49.41196,ACTUAL,2
2019-10-01,5,0,2019-10-01T11:00:00-00:00,2019-10-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,42.2478,ACTUAL,2
2019-10-01,4,0,2019-10-01T10:00:00-00:00,2019-10-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,62.9985,ACTUAL,2
2019-10-01,3,0,2019-10-01T09:00:00-00:00,2019-10-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,85.87875,ACTUAL,2
2019-10-01,2,0,2019-10-01T08:00:00-00:00,2019-10-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,91.85152,ACTUAL,2
