OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2019-02-01,13,0,2019-02-01T20:00:00-00:00,2019-02-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,362.98813,ACTUAL,1
2019-02-01,15,0,2019-02-01T22:00:00-00:00,2019-02-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,125.18554,ACTUAL,1
2019-02-01,12,0,2019-02-01T19:00:00-00:00,2019-02-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,402.28922,ACTUAL,1
2019-02-01,19,0,2019-02-02T02:00:00-00:00,2019-02-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.14781,ACTUAL,1
2019-02-01,11,0,2019-02-01T18:00:00-00:00,2019-02-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,464.78043,ACTUAL,1
2019-02-01,24,0,2019-02-02T07:00:00-00:00,2019-02-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.21224,ACTUAL,1
2019-02-01,10,0,2019-02-01T17:00:00-00:00,2019-02-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,419.80485,ACTUAL,1
2019-02-01,16,0,2019-02-01T23:00:00-00:00,2019-02-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,68.78085,ACTUAL,1
2019-02-01,9,0,2019-02-01T16:00:00-00:00,2019-02-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,295.53312,ACTUAL,1
2019-02-01,23,0,2019-02-02T06:00:00-00:00,2019-02-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.23672,ACTUAL,1
2019-02-01,8,0,2019-02-01T15:00:00-00:00,2019-02-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,47.21286,ACTUAL,1
2019-02-01,18,0,2019-02-02T01:00:00-00:00,2019-02-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.2032,ACTUAL,1
2019-02-01,7,0,2019-02-01T14:00:00-00:00,2019-02-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.00051,ACTUAL,1
2019-02-01,22,0,2019-02-02T05:00:00-00:00,2019-02-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.18085,ACTUAL,1
2019-02-01,6,0,2019-02-01T13:00:00-00:00,2019-02-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.07754,ACTUAL,1
2019-02-01,14,0,2019-02-01T21:00:00-00:00,2019-02-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,225.61775,ACTUAL,1
2019-02-01,5,0,2019-02-01T12:00:00-00:00,2019-02-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.11012,ACTUAL,1
