OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2019-07-01,13,0,2019-07-01T19:00:00-00:00,2019-07-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1404.56832,ACTUAL,1
2019-07-01,15,0,2019-07-01T21:00:00-00:00,2019-07-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1402.16429,ACTUAL,1
2019-07-01,12,0,2019-07-01T18:00:00-00:00,2019-07-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1335.82283,ACTUAL,1
2019-07-01,19,0,2019-07-02T01:00:00-00:00,2019-07-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,961.88332,ACTUAL,1
2019-07-01,11,0,2019-07-01T17:00:00-00:00,2019-07-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1389.48655,ACTUAL,1
2019-07-01,24,0,2019-07-02T06:00:00-00:00,2019-07-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-0.87046,ACTUAL,1
2019-07-01,10,0,2019-07-01T16:00:00-00:00,2019-07-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1335.6052,ACTUAL,1
2019-07-01,16,0,2019-07-01T22:00:00-00:00,2019-07-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1388.04839,ACTUAL,1
2019-07-01,9,0,2019-07-01T15:00:00-00:00,2019-07-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1274.47235,ACTUAL,1
2019-07-01,23,0,2019-07-02T05:00:00-00:00,2019-07-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-0.90146,ACTUAL,1
2019-07-01,8,0,2019-07-01T14:00:00-00:00,2019-07-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,943.98262,ACTUAL,1
2019-07-01,18,0,2019-07-02T00:00:00-00:00,2019-07-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1269.05198,ACTUAL,1
2019-07-01,7,0,2019-07-01T13:00:00-00:00,2019-07-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,242.43022,ACTUAL,1
2019-07-01,22,0,2019-07-02T04:00:00-00:00,2019-07-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-0.91316,ACTUAL,1
2019-07-01,6,0,2019-07-01T12:00:00-00:00,2019-07-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-0.05117,ACTUAL,1
2019-07-01,14,0,2019-07-01T20:00:00-00:00,2019-07-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1409.54044,ACTUAL,1
2019-07-01,5,0,2019-07-01T11:00:00-00:00,2019-07-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.04199,ACTUAL,1
2019-07-01,21,0,2019-07-02T03:00:00-00:00,2019-07-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,5.0843,ACTUAL,1
2019-07-01,4,0,2019-07-01T10:00:00-00:00,2019-07-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.04551,ACTUAL,1
2019-07-01,17,0,2019-07-01T23:00:00-00:00,2019-07-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1357.40099,ACTUAL,1
2019-07-01,3,0,2019-07-01T09:00:00-00:00,2019-07-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.01595,ACTUAL,1
2019-07-01,20,0,2019-07-02T02:00:00-00:00,2019-07-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,312.53101,ACTUAL,1
2019-07-01,2,0,2019-07-01T08:00:00-00:00,2019-07-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.02155,ACTUAL,1
2019-07-01,1,0,2019-07-01T07:00:00-00:00,2019-07-01T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-0.98133,ACTUAL,1
2019-07-01,12,0,2019-07-01T18:00:00-00:00,2019-07-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,463.42754,ACTUAL,2
2019-07-01,11,0,2019-07-01T17:00:00-00:00,2019-07-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,535.78228,ACTUAL,2
2019-07-01,10,0,2019-07-01T16:00:00-00:00,2019-07-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,630.7653,ACTUAL,2
2019-07-01,9,0,2019-07-01T15:00:00-00:00,2019-07-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,854.93553,ACTUAL,2
2019-07-01,8,0,2019-07-01T14:00:00-00:00,2019-07-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,834.83916,ACTUAL,2
2019-07-01,7,0,2019-07-01T13:00:00-00:00,2019-07-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,906.77979,ACTUAL,2
2019-07-01,6,0,2019-07-01T12:00:00-00:00,2019-07-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,909.93433,ACTUAL,2
2019-07-01,5,0,2019-07-01T11:00:00-00:00,2019-07-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,961.04827,ACTUAL,2
2019-07-01,4,0,2019-07-01T10:00:00-00:00,2019-07-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1050.32891,ACTUAL,2
2019-07-01,3,0,2019-07-01T09:00:00-00:00,2019-07-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1047.32214,ACTUAL,2
2019-07-01,2,0,2019-07-01T08:00:00-00:00,2019-07-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,962.33553,ACTUAL,2
2019-07-01,1,0,2019-07-01T07:00:00-00:00,2019-07-01T08:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1021.79082,ACTUAL,2
2019-07-01,24,0,2019-07-02T06:00:00-00:00,2019-07-02T07:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1055.32982,ACTUAL,2
2019-07-01,23,0,2019-07-02T05:00:00-00:00,2019-07-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1094.76685,ACTUAL,2
2019-07-01,22,0,2019-07-02T04:00:00-00:00,2019-07-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,997.69306,ACTUAL,2
2019-07-01,21,0,2019-07-02T03:00:00-00:00,2019-07-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,906.21325,ACTUAL,2
2019-07-01,20,0,2019-07-02T02:00:00-00:00,2019-07-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,871.34071,ACTUAL,2
2019-07-01,19,0,2019-07-02T01:00:00-00:00,2019-07-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1047.22463,ACTUAL,2
2019-07-01,18,0,2019-07-02T00:00:00-00:00,2019-07-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1035.40557,ACTUAL,2
2019-07-01,17,0,2019-07-01T23:00:00-00:00,2019-07-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,997.21386,ACTUAL,2
2019-07-01,16,0,2019-07-01T22:00:00-00:00,2019-07-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,808.40384,ACTUAL,2
2019-07-01,15,0,2019-07-01T21:00:00-00:00,2019-07-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,650.24959,ACTUAL,2
2019-07-01,13,0,2019-07-01T19:00:00-00:00,2019-07-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,512.77203,ACTUAL,2
2019-07-01,14,0,2019-07-01T20:00:00-00:00,2019-07-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,555.73714,ACTUAL,2
2019-07-01,13,0,2019-07-01T19:00:00-00:00,2019-07-01T20:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7409.3967,ACTUAL,3
2019-07-01,15,0,2019-07-01T21:00:00-00:00,2019-07-01T22:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7309.90855,ACTUAL,3
2019-07-01,12,0,2019-07-01T18:00:00-00:00,2019-07-01T19:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7353.41593,ACTUAL,3
2019-07-01,19,0,2019-07-02T01:00:00-00:00,2019-07-02T02:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,3563.8404,ACTUAL,3
2019-07-01,11,0,2019-07-01T17:00:00-00:00,2019-07-01T18:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7128.83323,ACTUAL,3
2019-07-01,24,0,2019-07-02T06:00:00-00:00,2019-07-02T07:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,108.92495,ACTUAL,3
2019-07-01,10,0,2019-07-01T16:00:00-00:00,2019-07-01T17:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,6711.2206,ACTUAL,3
2019-07-01,16,0,2019-07-01T22:00:00-00:00,2019-07-01T23:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7004.29587,ACTUAL,3
2019-07-01,9,0,2019-07-01T15:00:00-00:00,2019-07-01T16:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,6003.224,ACTUAL,3
2019-07-01,23,0,2019-07-02T05:00:00-00:00,2019-07-02T06:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,108.49863,ACTUAL,3
2019-07-01,8,0,2019-07-01T14:00:00-00:00,2019-07-01T15:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4068.30253,ACTUAL,3
